case_study,benchmark,mode,success,interpret_time,interpret_cpu,interpret_mem,transpile_time,transpile_cpu,transpile_mem,compile_time,compile_cpu,compile_mem,execute_time,execute_cpu,execute_mem,smt_calls,smt_time,smt_mode,smt_eval_time,smt_wait_time,smt_cache_hits,smt_cache_misses,smt_cache_clears,work
dminor,all-100,compile-reorder,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.32,3626,0.811192,95749,3318.25,push-pop,3318.25,0.0,0.241,0.344494,0,14.16749
dminor,all-100,compile-reorder,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.01,3615,0.946088,95749,3320.21,push-pop,3320.21,0.0,0.241172,0.344322,0,14.16749
dminor,all-100,compile-reorder,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.33,3610,0.814584,95749,3322.75,push-pop,3322.75,0.0,0.241262,0.344232,0,14.16749
dminor,all-100,compile-reorder,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.21,3615,0.800136,95749,3314.25,push-pop,3314.25,0.0,0.240867,0.344627,0,14.16749
dminor,all-100,compile-reorder,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.37,3612,0.822832,95749,3332.87,push-pop,3332.87,0.0,0.24094,0.344554,0,14.16749
dminor,all-100,compile-reorder,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.21,3611,0.788768,95749,3325.32,push-pop,3325.32,0.0,0.241118,0.344376,0,14.16749
dminor,all-100,compile-reorder,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.03,3613,0.807664,95749,3327.18,push-pop,3327.18,0.0,0.241202,0.344292,0,14.16749
dminor,all-100,compile-reorder,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.99,3618,0.786196,95749,3324.3,push-pop,3324.3,0.0,0.240963,0.344531,0,14.16749
dminor,all-100,compile-reorder,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.85,3617,0.813532,95749,3316.26,push-pop,3316.26,0.0,0.241274,0.34422,0,14.16749
dminor,all-100,compile-reorder,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.86,3625,0.829236,95749,3287.61,push-pop,3287.61,0.0,0.241238,0.344256,0,14.16749
dminor,all-100,compile-unbatched,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.52,3871,0.867884,95749,2780.1751,push-pop,2724.04,56.1351,0.153274,0.43222,0,12.919019
dminor,all-100,compile-unbatched,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.01,3871,0.84454,95749,2792.7740000000003,push-pop,2742.84,49.934,0.153455,0.432039,0,12.92034
dminor,all-100,compile-unbatched,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.97,3908,0.85362,95749,2775.2344,push-pop,2729.58,45.6544,0.153171,0.432323,0,12.920608
dminor,all-100,compile-unbatched,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.66,3800,0.953164,95749,2751.6152,push-pop,2678.0,73.6152,0.153393,0.432101,0,12.92333
dminor,all-100,compile-unbatched,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.13,3600,0.884064,95749,2832.1780000000003,push-pop,2581.59,250.588,0.153377,0.432117,0,12.897967
dminor,all-100,compile-unbatched,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.11,3825,0.885148,95749,2777.4282,push-pop,2712.85,64.5782,0.153212,0.432282,0,12.917125
dminor,all-100,compile-unbatched,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.08,3896,0.979692,95749,2818.4231,push-pop,2763.21,55.2131,0.15323,0.432264,0,12.912215
dminor,all-100,compile-unbatched,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.78,3649,0.897172,95749,2832.6820000000002,push-pop,2608.82,223.862,0.153407,0.432087,0,12.883157
dminor,all-100,compile-unbatched,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.42,3885,0.841164,95749,2749.1883,push-pop,2691.27,57.9183,0.153252,0.432242,0,12.915883
dminor,all-100,compile-unbatched,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.36,3805,0.861476,95749,2785.9766,push-pop,2744.97,41.0066,0.153303,0.432191,0,12.910998
dminor,all-100,interpret-reorder,y,128.02,1821,29.793272,NA,NA,NA,NA,NA,NA,NA,NA,NA,95749,3208.462783939,push-pop,1993.373,1215.089783939,0.211858,0.27488,0,10.286217
dminor,all-100,interpret-reorder,y,125.75,1891,34.15082,NA,NA,NA,NA,NA,NA,NA,NA,NA,95749,3091.968183661,push-pop,2031.058,1060.910183661,0.211862,0.274876,0,10.286217
dminor,all-100,interpret-reorder,y,127.21,1851,35.126828,NA,NA,NA,NA,NA,NA,NA,NA,NA,95749,3136.3971730269996,push-pop,2015.878,1120.5191730269999,0.211882,0.274856,0,10.286217
dminor,all-100,interpret-reorder,y,127.99,1802,35.070924,NA,NA,NA,NA,NA,NA,NA,NA,NA,95749,3189.5776597120002,push-pop,1960.304,1229.2736597120002,0.211829,0.274909,0,10.286217
dminor,all-100,interpret-reorder,y,128.12,1805,35.842044,NA,NA,NA,NA,NA,NA,NA,NA,NA,95749,3141.997985969,push-pop,1977.353,1164.6449859690001,0.211816,0.274922,0,10.286217
dminor,all-100,interpret-reorder,y,124.98,1908,35.057284,NA,NA,NA,NA,NA,NA,NA,NA,NA,95749,3106.738067556,push-pop,2038.74,1067.998067556,0.211817,0.274921,0,10.286217
dminor,all-100,interpret-reorder,y,129.26,1796,47.883664,NA,NA,NA,NA,NA,NA,NA,NA,NA,95749,3203.8907309710003,push-pop,1972.362,1231.528730971,0.211822,0.274916,0,10.286217
dminor,all-100,interpret-reorder,y,129.37,1801,49.563112,NA,NA,NA,NA,NA,NA,NA,NA,NA,95749,3118.008321458,push-pop,1985.272,1132.736321458,0.211846,0.274892,0,10.286217
dminor,all-100,interpret-reorder,y,129.82,1761,33.142376,NA,NA,NA,NA,NA,NA,NA,NA,NA,95749,3211.751777216,push-pop,1947.8,1263.951777216,0.211817,0.274921,0,10.286217
dminor,all-100,interpret-reorder,y,125.46,1865,33.555488,NA,NA,NA,NA,NA,NA,NA,NA,NA,95749,3106.81499256,push-pop,2005.74,1101.0749925599998,0.211769,0.274969,0,10.286217
dminor,all-100,interpret-unbatched,y,94.99,2372,32.737152,NA,NA,NA,NA,NA,NA,NA,NA,NA,95749,3201.542663452,push-pop,1925.074,1276.4686634519999,0.131087,0.355651,0,10.449112
dminor,all-100,interpret-unbatched,y,93.42,2462,32.171972,NA,NA,NA,NA,NA,NA,NA,NA,NA,95749,3137.63602307,push-pop,1969.484,1168.15202307,0.1314,0.355338,0,10.327921
dminor,all-100,interpret-unbatched,y,96.46,2365,47.287664,NA,NA,NA,NA,NA,NA,NA,NA,NA,95749,3191.979841321,push-pop,1935.19,1256.7898413209998,0.131117,0.355621,0,10.412482
dminor,all-100,interpret-unbatched,y,94.60,2439,33.755816,NA,NA,NA,NA,NA,NA,NA,NA,NA,95749,3160.465731134,push-pop,1971.88,1188.585731134,0.131195,0.355543,0,10.340658
dminor,all-100,interpret-unbatched,y,93.09,2486,35.50364,NA,NA,NA,NA,NA,NA,NA,NA,NA,95749,3136.783813524,push-pop,1968.044,1168.739813524,0.131324,0.355414,0,10.45069
dminor,all-100,interpret-unbatched,y,93.33,2461,23.626768,NA,NA,NA,NA,NA,NA,NA,NA,NA,95749,3172.8701476329998,push-pop,1968.279,1204.591147633,0.131305,0.355433,0,10.340495
dminor,all-100,interpret-unbatched,y,94.86,2427,34.825212,NA,NA,NA,NA,NA,NA,NA,NA,NA,95749,3172.970808553,push-pop,1966.246,1206.724808553,0.131153,0.355585,0,10.356583
dminor,all-100,interpret-unbatched,y,94.30,2434,33.692736,NA,NA,NA,NA,NA,NA,NA,NA,NA,95749,3146.270704138,push-pop,1963.828,1182.442704138,0.131039,0.355699,0,10.422547
dminor,all-100,interpret-unbatched,y,94.64,2450,46.721276,NA,NA,NA,NA,NA,NA,NA,NA,NA,95749,3184.4158190440003,push-pop,1975.366,1209.049819044,0.131199,0.355539,0,10.347088
dminor,all-100,interpret-unbatched,y,94.52,2423,32.996704,NA,NA,NA,NA,NA,NA,NA,NA,NA,95749,3165.006949838,push-pop,1950.862,1214.1449498379998,0.131395,0.355343,0,10.438854
dminor,all-10,compile-reorder,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.42,3029,0.167772,9619,31.1103,push-pop,31.1103,0.0,0.013411,0.045403,0,1.21064
dminor,all-10,compile-reorder,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.32,3038,0.1589,9619,30.4524,push-pop,30.4524,0.0,0.013312,0.045502,0,1.21064
dminor,all-10,compile-reorder,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.39,3034,0.15712,9619,31.14,push-pop,31.14,0.0,0.013301,0.045513,0,1.21064
dminor,all-10,compile-reorder,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.37,3034,0.153436,9619,30.8412,push-pop,30.8412,0.0,0.01333,0.045484,0,1.21064
dminor,all-10,compile-reorder,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.36,3016,0.161432,9619,30.969099999999997,push-pop,30.969099999999997,0.0,0.013507,0.045307,0,1.21064
dminor,all-10,compile-reorder,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.41,3017,0.15696,9619,31.2305,push-pop,31.2305,0.0,0.013486,0.045328,0,1.21064
dminor,all-10,compile-reorder,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.38,3026,0.165356,9619,30.6644,push-pop,30.6644,0.0,0.013454,0.04536,0,1.21064
dminor,all-10,compile-reorder,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.42,3027,0.156008,9619,31.230400000000003,push-pop,31.230400000000003,0.0,0.013325,0.045489,0,1.21064
dminor,all-10,compile-reorder,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.33,3039,0.16432,9619,30.8213,push-pop,30.8213,0.0,0.013484,0.04533,0,1.21064
dminor,all-10,compile-reorder,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.29,3028,0.16246,9619,30.5826,push-pop,30.5826,0.0,0.013409,0.045405,0,1.21064
dminor,all-10,compile-unbatched,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.40,3041,0.216096,9619,32.44306,push-pop,29.7057,2.7373600000000002,0.014857,0.043957,0,1.083939
dminor,all-10,compile-unbatched,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36,3237,0.219412,9619,31.737689999999997,push-pop,29.6516,2.08609,0.014799,0.044015,0,1.073544
dminor,all-10,compile-unbatched,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41,3086,0.21118,9619,32.171569999999996,push-pop,29.548599999999997,2.6229699999999996,0.014782,0.044032,0,1.084612
dminor,all-10,compile-unbatched,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.43,2998,0.219256,9619,31.5813,push-pop,29.769,1.8123,0.014842,0.043972,0,1.085808
dminor,all-10,compile-unbatched,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34,3091,0.213932,9619,32.33661,push-pop,29.3637,2.9729099999999997,0.014916,0.043898,0,1.084254
dminor,all-10,compile-unbatched,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38,3111,0.220164,9619,32.87791,push-pop,29.496599999999997,3.38131,0.014748,0.044066,0,1.08613
dminor,all-10,compile-unbatched,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.50,2814,0.210176,9619,32.521170000000005,push-pop,29.323700000000002,3.1974699999999996,0.015004,0.04381,0,1.089106
dminor,all-10,compile-unbatched,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38,3048,0.22488,9619,32.100370000000005,push-pop,29.274900000000002,2.8254699999999997,0.0148,0.044014,0,1.082583
dminor,all-10,compile-unbatched,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.44,2909,0.224268,9619,32.40847,push-pop,29.5005,2.9079699999999997,0.015105,0.043709,0,1.088818
dminor,all-10,compile-unbatched,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41,3050,0.214528,9619,32.16333,push-pop,29.4355,2.72783,0.014809,0.044005,0,1.085777
dminor,all-10,interpret-reorder,y,17.08,412,6.320636,NA,NA,NA,NA,NA,NA,NA,NA,NA,9619,18.128678412,push-pop,13.918,4.210678412,0.020319,0.028569,0,1.032957
dminor,all-10,interpret-reorder,y,17.18,402,6.119284,NA,NA,NA,NA,NA,NA,NA,NA,NA,9619,19.225284677,push-pop,14.531,4.694284677,0.020307,0.028581,0,1.032957
dminor,all-10,interpret-reorder,y,17.03,405,6.325684,NA,NA,NA,NA,NA,NA,NA,NA,NA,9619,18.269135051,push-pop,13.995,4.274135051,0.020309,0.028579,0,1.032957
dminor,all-10,interpret-reorder,y,16.88,409,6.313404,NA,NA,NA,NA,NA,NA,NA,NA,NA,9619,18.604596415,push-pop,14.204,4.400596415,0.020255,0.028633,0,1.032957
dminor,all-10,interpret-reorder,y,17.17,413,6.399376,NA,NA,NA,NA,NA,NA,NA,NA,NA,9619,17.879748763000002,push-pop,13.811,4.068748763,0.020309,0.028579,0,1.032957
dminor,all-10,interpret-reorder,y,17.21,388,6.450376,NA,NA,NA,NA,NA,NA,NA,NA,NA,9619,18.03307375,push-pop,13.95,4.08307375,0.020288,0.0286,0,1.032957
dminor,all-10,interpret-reorder,y,17.08,389,6.372104,NA,NA,NA,NA,NA,NA,NA,NA,NA,9619,19.10901539,push-pop,14.512,4.597015389999999,0.020258,0.02863,0,1.032957
dminor,all-10,interpret-reorder,y,16.94,404,6.098116,NA,NA,NA,NA,NA,NA,NA,NA,NA,9619,18.489867762,push-pop,14.144,4.345867762,0.020313,0.028575,0,1.032957
dminor,all-10,interpret-reorder,y,16.75,433,5.455692,NA,NA,NA,NA,NA,NA,NA,NA,NA,9619,18.393530914,push-pop,14.09,4.3035309139999995,0.020273,0.028615,0,1.032957
dminor,all-10,interpret-reorder,y,16.77,403,6.30498,NA,NA,NA,NA,NA,NA,NA,NA,NA,9619,17.838152067,push-pop,13.846,3.992152067,0.02027,0.028618,0,1.032957
dminor,all-10,interpret-unbatched,y,4.22,1942,6.525848,NA,NA,NA,NA,NA,NA,NA,NA,NA,9619,28.145328274999997,push-pop,22.205,5.940328275,0.012896,0.035992,0,1.048094
dminor,all-10,interpret-unbatched,y,4.18,1935,6.325572,NA,NA,NA,NA,NA,NA,NA,NA,NA,9619,27.028768404,push-pop,22.297,4.731768404,0.012949,0.035939,0,1.037519
dminor,all-10,interpret-unbatched,y,4.20,1905,7.4397,NA,NA,NA,NA,NA,NA,NA,NA,NA,9619,25.743225171,push-pop,21.4,4.343225171,0.012932,0.035956,0,1.039893
dminor,all-10,interpret-unbatched,y,4.27,1952,6.387496,NA,NA,NA,NA,NA,NA,NA,NA,NA,9619,25.009164056,push-pop,21.051,3.958164056,0.01295,0.035938,0,1.043876
dminor,all-10,interpret-unbatched,y,4.10,1925,6.328384,NA,NA,NA,NA,NA,NA,NA,NA,NA,9619,26.77174823,push-pop,21.502,5.26974823,0.012915,0.035973,0,1.039285
dminor,all-10,interpret-unbatched,y,4.19,1880,6.322884,NA,NA,NA,NA,NA,NA,NA,NA,NA,9619,27.624035177,push-pop,22.238,5.386035177,0.01292,0.035968,0,1.0475
dminor,all-10,interpret-unbatched,y,4.19,1981,6.687476,NA,NA,NA,NA,NA,NA,NA,NA,NA,9619,25.606661599,push-pop,21.659,3.947661599,0.012904,0.035984,0,1.035997
dminor,all-10,interpret-unbatched,y,3.98,1987,6.469764,NA,NA,NA,NA,NA,NA,NA,NA,NA,9619,25.979951853,push-pop,21.808,4.1719518529999995,0.012957,0.035931,0,1.04436
dminor,all-10,interpret-unbatched,y,4.19,1967,5.973912,NA,NA,NA,NA,NA,NA,NA,NA,NA,9619,26.975325302999998,push-pop,21.645,5.3303253029999995,0.012865,0.036023,0,1.045506
dminor,all-10,interpret-unbatched,y,4.14,1969,6.345292,NA,NA,NA,NA,NA,NA,NA,NA,NA,9619,27.047981134,push-pop,21.39,5.657981134,0.012957,0.035931,0,1.041387
dminor,all-1,compile-reorder,y,NA,NA,NA,1.21,799,0.448768,76.52,203,1.74124,4.10,2491,0.0564,1006,3.11698,push-pop,3.11698,0.0,0.001254,0.004892,0,0.123449
dminor,all-1,compile-reorder,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.25,2541,0.047148,1006,3.14606,push-pop,3.14606,0.0,0.001295,0.004851,0,0.123449
dminor,all-1,compile-reorder,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.09,2529,0.0555,1006,3.06425,push-pop,3.06425,0.0,0.001298,0.004848,0,0.123449
dminor,all-1,compile-reorder,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.10,2538,0.054012,1006,3.0958200000000002,push-pop,3.0958200000000002,0.0,0.001308,0.004838,0,0.123449
dminor,all-1,compile-reorder,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.10,2517,0.056504,1006,3.12582,push-pop,3.12582,0.0,0.001302,0.004844,0,0.123449
dminor,all-1,compile-reorder,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.48,2429,0.049528,1006,3.33082,push-pop,3.33082,0.0,0.001301,0.004845,0,0.123449
dminor,all-1,compile-reorder,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.06,2513,0.056484,1006,3.10881,push-pop,3.10881,0.0,0.001296,0.00485,0,0.123449
