case_study,benchmark,mode,success,interpret_time,interpret_cpu,interpret_mem,transpile_time,transpile_cpu,transpile_mem,compile_time,compile_cpu,compile_mem,execute_time,execute_cpu,execute_mem,smt_calls,smt_time,smt_mode,smt_eval_time,smt_wait_time,smt_cache_hits,smt_cache_misses,smt_cache_clears,work,parallelism
dminor,all-100,compile-reorder,y,NA,NA,NA,1.06,622,0.40992,69.40,203,1.741388,1428.64,100,0.5751,95749,1400.84,push-pop,1400.84,0.0,0.318543,0.266951,0,14.16749,1
dminor,all-100,compile-reorder,y,NA,NA,NA,1.32,493,0.422564,70.06,201,1.739836,1427.52,100,0.575104,95749,1399.77,push-pop,1399.77,0.0,0.318585,0.266909,0,14.16749,1
dminor,all-100,compile-reorder,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,1431.72,100,0.574584,95749,1404.3,push-pop,1404.3,0.0,0.318589,0.266905,0,14.16749,1
dminor,all-100,compile-reorder,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,1430.93,100,0.575488,95749,1403.21,push-pop,1403.21,0.0,0.318585,0.266909,0,14.16749,1
dminor,all-100,compile-reorder,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,1433.64,100,0.575368,95749,1405.97,push-pop,1405.97,0.0,0.318589,0.266905,0,14.16749,1
dminor,all-100,compile-reorder,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,196.52,780,0.58756,95749,1468.19,push-pop,1468.19,0.0,0.290978,0.294516,0,14.16749,8
dminor,all-100,compile-reorder,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,195.48,780,0.589356,95749,1461.97,push-pop,1461.97,0.0,0.291031,0.294463,0,14.16749,8
dminor,all-100,compile-reorder,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,195.68,780,0.590124,95749,1464.39,push-pop,1464.39,0.0,0.291177,0.294317,0,14.16749,8
dminor,all-100,compile-reorder,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,193.61,780,0.58776,95749,1448.03,push-pop,1448.03,0.0,0.290924,0.29457,0,14.16749,8
dminor,all-100,compile-reorder,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,193.23,780,0.587996,95749,1444.9,push-pop,1444.9,0.0,0.290966,0.294528,0,14.16749,8
dminor,all-100,compile-reorder,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.13,1492,0.597756,95749,1624.09,push-pop,1624.09,0.0,0.276017,0.309477,0,14.16749,16
dminor,all-100,compile-reorder,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.13,1493,0.599716,95749,1608.74,push-pop,1608.74,0.0,0.275579,0.309915,0,14.16749,16
dminor,all-100,compile-reorder,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.97,1490,0.59642,95749,1635.74,push-pop,1635.74,0.0,0.275628,0.309866,0,14.16749,16
dminor,all-100,compile-reorder,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.50,1492,0.59804,95749,1628.03,push-pop,1628.03,0.0,0.275477,0.310017,0,14.16749,16
